Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,LogSalary
Education,Artist,41.0,Female,14.0,PhD,Medium,3.0,3.0,77.0,80717.0,9.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,4.90696501215282
Business,Business Analyst,38.0,Male,12.0,Master's,High,6.0,2.0,84.0,117709.0,6.0,0.0,6.0,1.0,0.0,0.0,8.0,2.0,6.0,0.0,5.070809670157845
Business,Software Developer,24.0,Male,4.0,Bachelor's,Low,1.0,6.0,31.0,35350.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,4.548389418132918
Mechanical Engineering,Psychologist,30.0,Male,9.0,High School,Medium,6.0,7.0,94.0,100375.0,4.0,1.0,5.0,0.0,0.0,0.0,6.0,2.0,10.0,1.0,5.0016255582867375
Biology,Doctor,53.0,Female,8.0,Master's,Low,4.0,1.0,15.0,59594.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,4.775202536618374
Education,Teacher,20.0,Male,30.0,Master's,High,3.0,4.0,38.0,156833.0,7.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0,5.195437449993786
Business,Business Analyst,26.0,Female,19.0,Master's,Low,4.0,8.0,21.0,120568.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,5.081232056829688
Business,Lawyer,59.0,Female,39.0,Bachelor's,Medium,2.0,1.0,48.0,35765.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,7.0,1.0,4.553458229380449
Medicine,Business Analyst,25.0,Female,22.0,PhD,Medium,2.0,8.0,33.0,183116.0,1.0,0.0,10.0,1.0,0.0,0.0,4.0,1.0,5.0,1.0,5.262726293008006
Arts,Mechanical Engineer,22.0,Male,34.0,Master's,High,3.0,10.0,38.0,152021.0,1.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,5.181903585011649
Biology,Psychologist,56.0,Female,28.0,Bachelor's,Medium,2.0,3.0,67.0,52112.0,7.0,0.0,7.0,1.0,0.0,0.0,10.0,2.0,10.0,1.0,4.716937741220798
Psychology,Artist,51.0,Female,0.0,PhD,Medium,3.0,4.0,92.0,75269.0,4.0,0.0,9.0,1.0,0.0,0.0,6.0,1.0,7.0,1.0,4.876616146174212
Arts,Software Developer,27.0,Male,4.0,High School,Medium,8.0,8.0,12.0,115738.0,7.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,9.0,0.0,5.0634759733060095
Economics,Psychologist,56.0,Male,24.0,Master's,High,2.0,2.0,82.0,85611.0,6.0,1.0,10.0,0.0,0.0,0.0,7.0,1.0,4.0,1.0,4.9325295699619485
Business,Lawyer,39.0,Female,8.0,PhD,High,6.0,9.0,13.0,114868.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,9.0,0.0,5.0601990595062345
Education,Lawyer,55.0,Female,5.0,Bachelor's,Low,2.0,9.0,64.0,174677.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.24223572449825
Computer Science,Teacher,53.0,Male,12.0,High School,Low,1.0,10.0,24.0,44916.0,10.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,10.0,1.0,4.652401073162046
Biology,Biologist,54.0,Female,16.0,High School,Medium,1.0,6.0,63.0,117619.0,10.0,0.0,9.0,0.0,1.0,0.0,7.0,0.0,6.0,1.0,5.070477482697985
Business,Biologist,59.0,Female,3.0,Master's,Medium,1.0,9.0,93.0,153140.0,10.0,0.0,5.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,5.185088642757919
Education,Mechanical Engineer,48.0,Female,0.0,PhD,Low,4.0,7.0,90.0,70158.0,9.0,0.0,7.0,0.0,0.0,1.0,7.0,2.0,7.0,1.0,4.8460772000651655
Mechanical Engineering,Psychologist,48.0,Male,27.0,Master's,High,9.0,8.0,6.0,198891.0,4.0,0.0,9.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,5.298615131345799
Education,Economist,37.0,Female,12.0,High School,High,7.0,1.0,40.0,74603.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,4.872756292047052
Education,Business Analyst,49.0,Male,39.0,High School,Medium,2.0,6.0,8.0,115833.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,5.063832304436379
Computer Science,Teacher,45.0,Male,29.0,PhD,High,6.0,3.0,91.0,152383.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,5.182936519378878
Computer Science,Economist,26.0,Female,21.0,Bachelor's,High,9.0,2.0,46.0,118310.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,5.073021454359739
Psychology,Economist,50.0,Female,24.0,Bachelor's,High,2.0,1.0,30.0,147804.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5.169686187471668
Law,Economist,22.0,Male,5.0,Bachelor's,High,3.0,10.0,46.0,33829.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,4.529289160043351
Economics,Mechanical Engineer,21.0,Female,14.0,Bachelor's,Low,9.0,6.0,81.0,114877.0,9.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,5.060233085494518
Arts,Biologist,40.0,Male,6.0,High School,High,1.0,9.0,66.0,135835.0,5.0,1.0,4.0,0.0,1.0,1.0,10.0,1.0,5.0,1.0,5.13301168709029
Mechanical Engineering,Software Developer,29.0,Male,23.0,Master's,Low,8.0,6.0,54.0,171592.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,5.2344970362117245
Biology,Biologist,58.0,Male,34.0,High School,Medium,8.0,2.0,15.0,196450.0,7.0,0.0,8.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,5.293252033147825
Mechanical Engineering,Artist,45.0,Male,14.0,High School,Low,3.0,10.0,82.0,177032.0,6.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,5.248051775781626
Law,Artist,46.0,Male,17.0,Bachelor's,Medium,1.0,4.0,17.0,30240.0,5.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,4.480581786829169
Economics,Economist,28.0,Female,10.0,Master's,Low,4.0,7.0,3.0,167324.0,3.0,0.0,5.0,0.0,0.0,0.0,10.0,2.0,8.0,1.0,5.223558238153173
Biology,Mechanical Engineer,20.0,Male,31.0,PhD,Medium,3.0,9.0,49.0,147463.0,2.0,0.0,2.0,1.0,1.0,1.0,10.0,0.0,10.0,1.0,5.168683064981379
Law,Lawyer,23.0,Female,28.0,Master's,Low,7.0,10.0,47.0,144206.0,3.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,5.158983330512962
Biology,Lawyer,59.0,Male,12.0,High School,Medium,6.0,5.0,64.0,50771.0,8.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,4.705615717476003
Law,Artist,46.0,Female,2.0,High School,High,4.0,3.0,91.0,46082.0,10.0,0.0,7.0,0.0,1.0,0.0,9.0,1.0,5.0,1.0,4.663531319592994
Mechanical Engineering,Teacher,25.0,Female,10.0,Bachelor's,High,2.0,5.0,10.0,68148.0,10.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.833453114731084
Computer Science,Business Analyst,51.0,Female,5.0,Master's,High,8.0,8.0,74.0,50637.0,1.0,0.0,10.0,0.0,0.0,1.0,10.0,1.0,8.0,0.0,4.704467967901088
Law,Economist,39.0,Female,23.0,Master's,Low,8.0,4.0,10.0,51144.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,9.0,0.0,4.708794691425808
Arts,Doctor,59.0,Female,1.0,High School,Medium,8.0,2.0,91.0,115675.0,8.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,5.063239508171935
Law,Lawyer,45.0,Male,10.0,High School,High,6.0,8.0,83.0,83285.0,4.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,8.0,1.0,4.920566790076282
Education,Lawyer,30.0,Male,29.0,PhD,Medium,7.0,6.0,99.0,88491.0,6.0,0.0,6.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,4.946899102911435
Biology,Business Analyst,44.0,Male,8.0,PhD,High,3.0,10.0,44.0,113531.0,3.0,1.0,10.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,5.055114463209288
Business,Mechanical Engineer,50.0,Male,3.0,High School,High,10.0,5.0,96.0,148472.0,5.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,5.171644558757219
Mechanical Engineering,Business Analyst,37.0,Female,13.0,PhD,Medium,1.0,8.0,35.0,166983.0,3.0,1.0,3.0,1.0,0.0,0.0,5.0,2.0,6.0,1.0,5.222672259279322
Medicine,Lawyer,54.0,Female,15.0,High School,High,1.0,2.0,16.0,139735.0,3.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,5.145305199264261
Law,Lawyer,54.0,Female,25.0,PhD,Low,2.0,6.0,40.0,101868.0,1.0,1.0,4.0,0.0,0.0,1.0,6.0,2.0,10.0,1.0,5.008037779629536
Business,Software Developer,58.0,Male,0.0,Bachelor's,Medium,6.0,5.0,78.0,136325.0,1.0,0.0,6.0,0.0,0.0,1.0,9.0,1.0,5.0,0.0,5.134575506358859
Medicine,Biologist,32.0,Male,0.0,High School,Low,8.0,6.0,63.0,144767.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,5.1606695746287095
Psychology,Business Analyst,40.0,Male,25.0,Master's,Low,8.0,4.0,85.0,61234.0,5.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.786992629861788
Business,Economist,26.0,Female,11.0,Master's,Medium,4.0,7.0,15.0,56121.0,3.0,0.0,7.0,1.0,0.0,0.0,6.0,0.0,4.0,1.0,4.749125400963105
Education,Teacher,45.0,Female,31.0,PhD,High,2.0,9.0,45.0,198916.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,2.0,10.0,1.0,5.298669717424284
Computer Science,Psychologist,27.0,Male,35.0,Master's,Low,2.0,5.0,34.0,130570.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5.115843404112816
Arts,Psychologist,41.0,Male,2.0,Bachelor's,High,8.0,10.0,53.0,77874.0,5.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,4.891392482816243
Economics,Artist,28.0,Female,20.0,Master's,Low,1.0,4.0,97.0,167452.0,1.0,1.0,6.0,0.0,0.0,0.0,8.0,2.0,6.0,1.0,5.223890338999067
Economics,Teacher,31.0,Female,17.0,PhD,Low,4.0,1.0,89.0,33603.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,4.0,1.0,4.526378051951889
Mechanical Engineering,Artist,33.0,Female,25.0,Bachelor's,Medium,3.0,1.0,27.0,110648.0,8.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,9.0,1.0,5.043943568314666
Biology,Teacher,38.0,Female,6.0,High School,High,7.0,1.0,49.0,102949.0,7.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,5.012622132434466
Mechanical Engineering,Doctor,27.0,Female,10.0,Master's,Low,9.0,10.0,19.0,133292.0,2.0,0.0,10.0,0.0,0.0,1.0,10.0,0.0,6.0,0.0,5.124804084446747
Business,Biologist,33.0,Female,39.0,Master's,High,6.0,8.0,53.0,105490.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,7.0,0.0,5.023211292328889
Biology,Biologist,47.0,Female,16.0,Bachelor's,Low,7.0,6.0,10.0,55169.0,2.0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,4.741695111954515
Economics,Artist,48.0,Male,4.0,Master's,High,7.0,5.0,46.0,33681.0,9.0,0.0,7.0,0.0,1.0,0.0,8.0,2.0,10.0,1.0,4.527384977365458
Arts,Mechanical Engineer,39.0,Male,23.0,High School,Low,6.0,3.0,2.0,102283.0,2.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,5.009803457566446
Biology,Mechanical Engineer,43.0,Female,19.0,Master's,Medium,8.0,7.0,65.0,107437.0,10.0,0.0,8.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,5.031153872877003
Business,Mechanical Engineer,40.0,Female,21.0,High School,Low,1.0,6.0,49.0,112946.0,6.0,1.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,5.052870854922708
Education,Teacher,26.0,Female,24.0,Bachelor's,Medium,9.0,8.0,69.0,110551.0,4.0,0.0,4.0,0.0,1.0,1.0,10.0,0.0,4.0,0.0,5.043562675386172
Economics,Doctor,32.0,Male,19.0,High School,Low,3.0,5.0,42.0,95763.0,6.0,0.0,2.0,1.0,1.0,1.0,7.0,2.0,10.0,1.0,4.981197742902088
Business,Artist,42.0,Female,33.0,High School,Medium,9.0,5.0,6.0,166774.0,9.0,0.0,5.0,0.0,1.0,1.0,4.0,1.0,10.0,0.0,5.22212834524257
Computer Science,Doctor,36.0,Female,29.0,PhD,Low,9.0,6.0,7.0,133136.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.124295504665947
Business,Lawyer,35.0,Female,19.0,High School,High,3.0,1.0,30.0,190469.0,7.0,0.0,6.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,5.279824301667895
Mechanical Engineering,Teacher,22.0,Female,32.0,PhD,Medium,3.0,8.0,77.0,58250.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,4.765295929698056
Economics,Lawyer,52.0,Male,16.0,Master's,High,9.0,8.0,99.0,35819.0,4.0,0.0,10.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,4.554113456986374
Education,Software Developer,24.0,Female,14.0,Bachelor's,Low,8.0,10.0,92.0,156025.0,5.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,5.19319419125292
Law,Lawyer,29.0,Female,3.0,Master's,High,5.0,8.0,73.0,147613.0,1.0,0.0,4.0,0.0,1.0,0.0,9.0,2.0,10.0,0.0,5.169124606671635
Psychology,Business Analyst,50.0,Male,0.0,Bachelor's,High,4.0,10.0,38.0,168497.0,6.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,8.0,1.0,5.226592172892555
Law,Biologist,58.0,Male,35.0,Bachelor's,Medium,6.0,6.0,89.0,75246.0,2.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,4.876483418231328
Economics,Doctor,52.0,Male,37.0,High School,Low,6.0,8.0,93.0,74635.0,6.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,4.872942537153981
Biology,Teacher,44.0,Male,39.0,High School,High,8.0,4.0,31.0,171943.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.2353844998832155
Economics,Psychologist,53.0,Female,35.0,Master's,Medium,9.0,6.0,92.0,184472.0,8.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,5.265930456303669
Psychology,Mechanical Engineer,37.0,Male,2.0,PhD,Low,7.0,7.0,15.0,132014.0,10.0,0.0,6.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,5.120619990299325
Business,Artist,26.0,Male,15.0,PhD,Low,2.0,8.0,56.0,46964.0,10.0,0.0,10.0,0.0,0.0,0.0,8.0,2.0,9.0,1.0,4.671765079379814
Computer Science,Teacher,27.0,Female,30.0,High School,Low,9.0,10.0,56.0,123784.0,1.0,1.0,6.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,5.092664512529193
Education,Mechanical Engineer,50.0,Male,22.0,PhD,High,3.0,6.0,25.0,197678.0,4.0,0.0,8.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0,5.295958338457571
Law,Economist,34.0,Female,16.0,Master's,High,3.0,3.0,36.0,172302.0,8.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,5.236290318561915
Economics,Teacher,39.0,Female,30.0,Master's,Low,10.0,10.0,56.0,151108.0,8.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,5.179287457481868
Mechanical Engineering,Business Analyst,40.0,Female,18.0,High School,Low,9.0,10.0,99.0,156407.0,6.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,2.0,0.0,5.194256186021421
Education,Psychologist,56.0,Female,31.0,High School,Low,1.0,6.0,54.0,184608.0,7.0,0.0,10.0,0.0,0.0,0.0,9.0,1.0,5.0,1.0,5.266250517278048
Education,Software Developer,56.0,Male,13.0,High School,Medium,2.0,3.0,83.0,42203.0,7.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,5.0,1.0,4.625343323879609
Psychology,Mechanical Engineer,33.0,Male,23.0,PhD,High,2.0,1.0,64.0,83319.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.920744048876667
Law,Lawyer,23.0,Female,4.0,Master's,Low,5.0,5.0,48.0,73640.0,9.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.8671137798319775
Medicine,Lawyer,37.0,Male,8.0,High School,Medium,8.0,2.0,82.0,32915.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.517393859428098
Business,Lawyer,54.0,Male,26.0,High School,Low,8.0,4.0,8.0,197400.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,5.295347148333618
Education,Biologist,24.0,Female,1.0,Master's,Medium,8.0,4.0,57.0,149559.0,5.0,1.0,5.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,5.174812552658072
Mechanical Engineering,Economist,56.0,Female,37.0,Master's,Low,8.0,4.0,55.0,96028.0,3.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,4.9823978837944525
Economics,Economist,30.0,Female,5.0,Master's,High,3.0,6.0,45.0,62868.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,4.798429644495571
Mechanical Engineering,Economist,57.0,Male,6.0,PhD,High,7.0,4.0,85.0,46662.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,4.668963349338768
Medicine,Economist,44.0,Female,18.0,High School,High,2.0,3.0,30.0,95129.0,5.0,0.0,10.0,1.0,0.0,1.0,6.0,0.0,9.0,1.0,4.978312931449111
Psychology,Software Developer,33.0,Female,35.0,Master's,High,6.0,9.0,44.0,133419.0,2.0,0.0,8.0,1.0,1.0,0.0,7.0,0.0,10.0,0.0,5.125217681211562
Arts,Business Analyst,52.0,Female,15.0,High School,Low,8.0,5.0,60.0,186521.0,9.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,7.0,1.0,5.270727735183257
Law,Teacher,42.0,Male,31.0,PhD,Medium,7.0,1.0,20.0,115874.0,9.0,0.0,8.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0,5.063985999179687
Economics,Business Analyst,28.0,Male,8.0,PhD,High,8.0,8.0,87.0,122064.0,6.0,0.0,6.0,1.0,0.0,1.0,10.0,2.0,1.0,0.0,5.086587597551296
Biology,Software Developer,34.0,Female,8.0,High School,High,4.0,3.0,55.0,190040.0,6.0,0.0,5.0,1.0,0.0,0.0,9.0,2.0,5.0,1.0,5.278845021747168
Biology,Software Developer,41.0,Female,11.0,Bachelor's,High,8.0,8.0,61.0,187944.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,5.274028465679069
Biology,Business Analyst,25.0,Male,0.0,Bachelor's,Low,2.0,1.0,32.0,122568.0,8.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,6.0,1.0,5.088377099567146
Mechanical Engineering,Psychologist,31.0,Female,27.0,PhD,High,9.0,2.0,45.0,142343.0,3.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,5.153336114713584
Medicine,Economist,24.0,Male,17.0,PhD,Medium,10.0,6.0,14.0,163569.0,9.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,5.213700998573439
Mechanical Engineering,Artist,57.0,Female,24.0,Bachelor's,Low,2.0,1.0,100.0,51183.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,4.709125737691492
Education,Software Developer,24.0,Female,19.0,PhD,High,3.0,7.0,34.0,179365.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,5.253737701864096
Psychology,Artist,41.0,Male,33.0,Bachelor's,High,3.0,5.0,21.0,122859.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,6.0,1.0,5.08940697609628
Economics,Artist,51.0,Male,9.0,High School,Low,1.0,10.0,76.0,148117.0,5.0,0.0,6.0,0.0,0.0,0.0,8.0,1.0,9.0,1.0,5.170604907153802
Biology,Lawyer,29.0,Male,22.0,PhD,High,6.0,9.0,79.0,145998.0,9.0,0.0,4.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,5.1643469065042105
Biology,Biologist,31.0,Male,27.0,Bachelor's,High,9.0,8.0,86.0,113768.0,7.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,5.056020123414669
Arts,Economist,47.0,Female,11.0,High School,Medium,7.0,7.0,98.0,35429.0,10.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,4.549358894342466
Biology,Mechanical Engineer,30.0,Female,21.0,High School,High,2.0,2.0,41.0,153546.0,5.0,1.0,10.0,0.0,0.0,1.0,10.0,1.0,8.0,1.0,5.186238507196835
Computer Science,Business Analyst,55.0,Female,1.0,High School,Low,10.0,9.0,7.0,138654.0,4.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,5.141932402964509
Business,Business Analyst,22.0,Male,2.0,PhD,Low,8.0,8.0,26.0,141479.0,5.0,0.0,7.0,1.0,0.0,0.0,6.0,2.0,10.0,0.0,5.150691981479039
Mechanical Engineering,Psychologist,24.0,Female,9.0,Master's,High,1.0,6.0,17.0,69970.0,7.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,9.0,1.0,4.844911873912141
Education,Software Developer,43.0,Female,2.0,PhD,Medium,1.0,9.0,58.0,36594.0,7.0,0.0,8.0,0.0,0.0,0.0,8.0,1.0,6.0,1.0,4.563409883741345
Medicine,Artist,44.0,Female,1.0,High School,High,7.0,6.0,10.0,127625.0,10.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,5.105935755094967
Business,Economist,32.0,Male,18.0,Master's,High,9.0,3.0,51.0,63934.0,6.0,0.0,5.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,4.805731876709535
Arts,Lawyer,27.0,Female,8.0,Master's,Medium,6.0,8.0,46.0,90716.0,6.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,4.957683892339988
Education,Psychologist,57.0,Female,27.0,High School,Low,8.0,9.0,23.0,52710.0,8.0,1.0,4.0,0.0,0.0,1.0,6.0,2.0,5.0,1.0,4.721893016214957
Medicine,Mechanical Engineer,30.0,Male,5.0,Master's,High,2.0,4.0,98.0,173461.0,7.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,5.239201845762534
Mechanical Engineering,Psychologist,42.0,Male,0.0,Master's,Low,7.0,6.0,34.0,160179.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,9.0,0.0,5.204605578028262
Computer Science,Doctor,41.0,Female,28.0,Master's,Low,5.0,4.0,73.0,101331.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.00574232857207
Business,Software Developer,24.0,Female,8.0,High School,Medium,7.0,2.0,42.0,157162.0,9.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,8.0,0.0,5.196347546885995
Arts,Lawyer,57.0,Female,24.0,Bachelor's,Medium,6.0,2.0,89.0,103239.0,5.0,0.0,9.0,0.0,0.0,0.0,7.0,1.0,10.0,0.0,5.013843789202079
Biology,Teacher,29.0,Female,21.0,PhD,Medium,7.0,1.0,100.0,125406.0,9.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.098318315637876
Mechanical Engineering,Economist,49.0,Male,22.0,High School,High,9.0,1.0,35.0,33857.0,7.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,7.0,1.0,4.529648473525813
Mechanical Engineering,Economist,26.0,Female,1.0,PhD,Low,6.0,1.0,38.0,163767.0,8.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,5.214226393384302
Education,Doctor,39.0,Female,35.0,PhD,Medium,1.0,4.0,98.0,163882.0,10.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,7.0,1.0,5.214531255401093
Biology,Artist,47.0,Male,29.0,Master's,Low,1.0,2.0,79.0,120978.0,5.0,0.0,7.0,1.0,1.0,0.0,8.0,2.0,6.0,1.0,5.082706400504085
Law,Software Developer,24.0,Female,12.0,Master's,High,9.0,3.0,90.0,178765.0,2.0,0.0,7.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,5.25228249323626
Law,Teacher,52.0,Female,38.0,Bachelor's,Low,3.0,4.0,30.0,177769.0,6.0,1.0,10.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,5.249856029397157
Arts,Artist,20.0,Male,38.0,Bachelor's,Medium,10.0,4.0,61.0,58199.0,6.0,1.0,7.0,0.0,0.0,0.0,10.0,0.0,6.0,1.0,4.764915522481281
Economics,Artist,22.0,Male,34.0,PhD,Medium,9.0,10.0,72.0,68687.0,6.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,10.0,0.0,4.8368745483767555
Economics,Economist,53.0,Female,18.0,Master's,Medium,10.0,3.0,49.0,36957.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,4.567696709941864
Psychology,Psychologist,41.0,Female,35.0,Master's,Medium,4.0,8.0,51.0,199522.0,6.0,0.0,6.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,5.29999078950561
Law,Doctor,43.0,Male,21.0,Master's,Medium,4.0,8.0,76.0,191233.0,6.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,4.0,1.0,5.2815628381558755
Medicine,Business Analyst,32.0,Male,1.0,PhD,High,10.0,4.0,28.0,62006.0,5.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,4.792433715962996
Business,Mechanical Engineer,25.0,Male,28.0,PhD,Medium,9.0,8.0,99.0,178965.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,5.252768104761324
Business,Business Analyst,46.0,Male,25.0,Bachelor's,Low,9.0,9.0,26.0,164091.0,10.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,5.215084761689746
Business,Biologist,59.0,Male,3.0,High School,Low,7.0,7.0,33.0,165986.0,10.0,1.0,10.0,1.0,1.0,0.0,7.0,0.0,2.0,1.0,5.220071459249985
Law,Mechanical Engineer,25.0,Female,36.0,Bachelor's,Low,10.0,8.0,9.0,55484.0,3.0,0.0,3.0,1.0,0.0,0.0,9.0,2.0,8.0,0.0,4.744167763059269
Arts,Economist,37.0,Female,29.0,High School,Low,5.0,2.0,29.0,103012.0,10.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,5.012887819173346
